Index	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
MEDN005	1430000	1560000	1420000	1410000	2500000	2420000	2250000	2420000	2760000	2330000	1900000	2200000
MEDN011	998000	1190000	1220000	1440000	2160000	2190000	2230000	2300000	2130000	1860000	1590000	1550000
MEDN015	10700000	13400000	12100000	13400000	22000000	20500000	17500000	20900000	18400000	18800000	19200000	16700000
MEDN016	44600	39800	52200	59800	41200	42000	43500	45000	39300	37200	35200	37400
MEDN018	429000	474000	441000	453000	407000	421000	451000	388000	561000	493000	424000	440000
MEDN027	66500	65200	69600	72800	59500	52700	39100	54700	56400	47400	38500	52100
MEDN032	752000	885000	811000	871000	767000	751000	721000	753000	703000	776000	849000	803000
MEDN033	174000	236000	202000	230000	211000	171000	91200	122000	53500	60000	66500	50000
MEDN036	30600	27400	26000	21500	14400	11800	6480	9840	9	9	9	9
MEDN040	40500	22400	31700	22900	22700	19000	11400	19200	17600	17800	18100	19900
MEDN042	326000	300000	306000	285000	486000	466000	426000	478000	258000	205000	153000	194000
MEDN043	7360	7590	7260	7160	7860	7470	6700	10600	10400	7780	5210	7230
MEDN045	291000	321000	273000	256000	240000	232000	217000	226000	229000	223000	216000	168000
MEDN046	1970000	2010000	2040000	2100000	2280000	2170000	1950000	2150000	2560000	2190000	1810000	2090000
MEDN049	39500	69600	52100	64700	46700	37300	18700	41300	27600	35600	43600	39300
MEDN052	71700	78100	71000	70300	85700	77600	61300	78500	90000	82600	75100	59700
MEDN055	23500	74800	52100	80700	132000	118000	90100	116000	364000	562000	761000	287000
MEDN056	57300	52600	57500	57700	102000	99200	93600	92100	96200	96900	97600	94100
MEDN057	11600	12600	12200	12900	34700	31700	25800	34300	24800	24500	24300	22400
MEDN059	383000	366000	396000	410000	515000	440000	289000	419000	138000	149000	160000	114000
MEDN061	445000	375000	386000	327000	475000	455000	415000	444000	1590000	1870000	2150000	1520000
MEDN065	39300	60900	44700	50100	73400	74700	77300	79900	236000	213000	191000	225000
MEDN068	283000	370000	330000	376000	944000	920000	874000	928000	756000	658000	560000	588000
MEDN072	377000	462000	425000	474000	774000	709000	579000	708000	693000	690000	686000	614000
MEDN074	38000	28500	37200	36400	27800	26000	22600	29000	18900	15800	12700	21500
MEDN084	819000	849000	1420000	2010000	895000	890000	881000	828000	536000	781000	1030000	554000
MEDN091	9	9	9	9	8610	8280	7630	8840	16800	20000	23200	13000
MEDN092	21700	31300	25100	28500	123000	119000	111000	132000	112000	93700	75800	77700
MEDN111	32200	33900	28600	25000	29900	27600	23100	31000	179000	191000	203000	156000
MEDN113	27300	23300	26000	24800	35400	32000	25400	39600	182000	190000	197000	166000
MEDN114	29900	41700	33100	36300	43000	50300	64900	42000	61000	58700	56500	36400
MEDN115	36100	45600	35100	34100	45100	51000	62900	45500	53600	59000	64500	34100
MEDN120	65600	68800	61900	58100	62000	63400	66200	55200	129000	124000	119000	142000
MEDN140	11600000	15200000	13300000	15100000	51600000	49100000	44100000	52600000	26600000	23200000	19800000	24100000
MEDN146	73400	83600	52600	31800	60200	62900	68200	41800	47400	43000	38600	42400
MEDN147	6610	5470	7860	9100	16400	17800	20600	21000	10900	10800	10600	11100
MEDN149	25400	38100	31800	38100	91900	94100	98600	63800	109000	94300	79600	62900
MEDN153	615000	233000	515000	415000	344000	384000	465000	9	194000	154000	113000	126000
MEDN156	16200	8690	21200	26200	32000	27500	18600	31800	17800	17500	17200	11300
MEDN158	15700	8020	16700	17800	6270	7320	9420	6450	9	9	9	9
MEDN160	895000	726000	898000	902000	739000	722000	687000	654000	217000	179000	141000	205000
MEDN162	250000	497000	370000	490000	849000	863000	891000	824000	798000	673000	549000	467000
MEDN164	33600000	33700000	37900000	42300000	86800000	88800000	92800000	84000000	31900000	27600000	23300000	21300000
MEDN165	9	44500	29100	58100	59100	69200	89500	9	223000	269000	315000	176000
MEDN166	25200	37100	22800	20300	123000	111000	86100	120000	46500	40600	34800	38500
MEDN170	4570	3120	6260	7950	43100	37600	26800	41200	3920	5580	7240	5440
MEDN173	98100	91600	95700	93300	152000	139000	113000	144000	27900	28300	28600	33900
MEDN196	2670000	3430000	3500000	4330000	4700000	4610000	4440000	4560000	3700000	4050000	4400000	2910000
MEDN199	175000	215000	204000	232000	1140000	1250000	1460000	1010000	1770000	1760000	1750000	1470000
MEDN200	169000	276000	189000	209000	1080000	1110000	1180000	1040000	1910000	1610000	1300000	1310000
MEDN201	622000	571000	566000	510000	1120000	1060000	945000	1060000	812000	728000	644000	724000
MEDN206	41000	37400	41300	41500	85300	76400	58600	57800	78500	60200	41900	56400
MEDN211	28300	18700	28000	27600	27600	30300	35800	28500	29200	25000	20900	18400
MEDN214	52600	59000	50600	48700	40300	46100	57600	39400	108000	84000	59500	66100
MEDN216	17600	15900	21000	24300	21100	22300	24800	21300	28500	22700	16800	19000
MEDN218	415000	450000	412000	408000	970000	995000	1050000	993000	839000	753000	667000	733000
MEDN221	425000	438000	438000	452000	934000	924000	904000	934000	920000	890000	860000	866000
MEDN222	18700	25900	22800	26900	10300	13000	18600	13200	25900	22500	19100	25400
MEDN223	717000	987000	797000	878000	795000	916000	1160000	808000	1400000	1390000	1390000	1060000
MEDN224	888000	1020000	961000	1030000	822000	906000	1070000	863000	1470000	1490000	1510000	1050000
MEDN226	3460000	3610000	3500000	3530000	3030000	3090000	3200000	3040000	3050000	3180000	3300000	3050000
MEDN227	1160000	2330000	1510000	1860000	9040000	9290000	9800000	10100000	5560000	6420000	7290000	5710000
MEDN228	37400	32900	29400	21500	23600	25700	29900	30900	35700	27000	18300	29700
MEDN236	311000	343000	298000	284000	221000	235000	264000	239000	363000	320000	278000	281000
MEDN237	12800	15200	12700	12700	48000	38500	19600	41400	15100	15500	15900	11400
MEDN240	15500	20300	17000	18400	35100	35700	36800	32900	28500	23300	18000	27700
MEDN241	43300	40800	44700	46100	56500	56200	55500	55600	67200	58700	50200	58200
MEDN244	10700	17000	14300	17800	44800	37500	22900	30800	16400	17900	19400	15500
MEDN245	2770000	3930000	3390000	4000000	47700000	46300000	43700000	44600000	34800000	32100000	29500000	28300000
MEDN260	15700	15300	16500	17300	15600	16100	17000	16300	18200	15600	13100	17500
MEDN262	15200	23700	14600	14000	21700	24400	29700	22900	33700	32600	31500	20500
MEDN279	158000	151000	152000	147000	105000	106000	107000	110000	76400	57100	37800	65000
MEDN280	1380000	1340000	1490000	1600000	5770000	5510000	4990000	5340000	4890000	3990000	3080000	3660000
MEDN290	113000	143000	120000	128000	1360000	1300000	1180000	1280000	2420000	2180000	1940000	1700000
MEDN300	3810000	4280000	3820000	3830000	4090000	4130000	4190000	4000000	4310000	4210000	4100000	4270000
MEDN304	108000	133000	112000	116000	211000	194000	160000	201000	178000	175000	172000	163000
MEDN305	412000	380000	405000	397000	1220000	1160000	1050000	1160000	810000	658000	505000	607000
MEDN309	29300	51300	47100	64900	179000	188000	206000	208000	206000	206000	206000	157000
MEDN316	9220	12600	10200	11200	21400	21400	21300	20100	20600	21000	21400	25000
MEDN321	9	9	9	9	58900	63400	72400	64100	151000	149000	147000	98400
MEDN322	5860	10100	7090	8320	15900	16700	18300	16800	19500	21800	24200	23200
MEDN324	9	9	9	9	12900	12400	11300	13800	35000	27600	20200	18400
MEDN325	42000	45300	47700	53400	148000	148000	149000	171000	164000	156000	147000	152000
MEDN335	2020000	2370000	2210000	2400000	9860000	9020000	7330000	10300000	4560000	4780000	4990000	4480000
MEDN338	4230	4130	4210	4200	7170	6900	6360	6340	14000	14100	14200	12600
MEDN349	157000	247000	192000	228000	700000	685000	655000	689000	549000	496000	443000	585000
MEDN351	15500	24600	20900	26300	48900	49600	50900	55100	56600	53500	50400	58500
MEDN352	1940000	1940000	2080000	2230000	8350000	8120000	7670000	8260000	4420000	3430000	2440000	3250000
MEDN360	16300	18200	17900	19500	36000	35200	33800	34100	32600	27300	22000	28000
MEDN362	3520000	3480000	3600000	3680000	4840000	6400000	9510000	5830000	4590000	3440000	2290000	2520000
MEDN364	234000	256000	255000	277000	424000	479000	590000	448000	1680000	1700000	1710000	1840000
MEDN366	508000	525000	524000	541000	303000	354000	456000	345000	760000	704000	648000	705000
MEDN368	18000	18100	17900	17800	13300	15000	18500	13700	9230	8320	7410	7740
MEDN370	37800	38800	29700	21500	71400	69600	66000	63200	64700	59400	54100	48100
MEDN372	21000	19600	19800	18700	11500	11500	11400	11200	13000	13100	13200	13200
MEDN376	22400	21400	23400	24400	22700	22700	22800	22700	24100	24400	24800	24000
MEDN379	5270	4870	4850	4440	7670	7280	6500	7160	9020	9020	9020	6820
MEDN380	5570000	6280000	6090000	6610000	12500000	12400000	12400000	11900000	36200000	34800000	33400000	36800000
MEDN381	38300000	41000000	39300000	40400000	43700000	43900000	44400000	45000000	45600000	47100000	48600000	50300000
MEDN383	3790000	3970000	4050000	4300000	6490000	6210000	5670000	6490000	8160000	8120000	8090000	8830000
MEDN385	261000	254000	275000	289000	342000	346000	355000	341000	471000	449000	427000	472000
MEDN388	102000	105000	103000	104000	108000	108000	108000	103000	127000	129000	132000	143000
MEDN390	753000	887000	985000	1220000	3140000	2900000	2430000	2850000	2750000	2610000	2480000	2630000
MEDN391	40900	46900	47900	54900	125000	123000	119000	114000	135000	132000	130000	124000
MEDN394	25200	27300	25400	25600	29700	29700	29600	30600	26800	29100	31400	32500
MEDN395	69300	92900	69400	69400	97600	104000	116000	110000	90700	105000	119000	92200
MEDN404	12600	22200	13500	14500	20100	19000	16700	18900	90600	101000	112000	72400
MEDN409	36800	35200	36300	35900	33400	34300	36100	31200	33100	33000	32900	36400
MEDN411	60600	55500	58200	55900	74800	72400	67600	68800	75700	74700	73600	87600
MEDN421	34800	53800	47300	59800	30700	20500	9	26700	9	9	9	9
MEDN425	23400000	23900000	23500000	23700000	18900000	19400000	20500000	19400000	20000000	20200000	20500000	20500000
MEDN434	57800	72000	69600	81400	126000	115000	92800	119000	102000	99600	96900	63800
MEDN444	33900000	33300000	37500000	41200000	87300000	88600000	91300000	82100000	32100000	27500000	22800000	20500000
MEDN452	136000	145000	166000	196000	411000	378000	312000	359000	164000	157000	149000	157000
MEDN461	8830	11100	8560	8290	13500	14100	15100	14800	8700	12400	16000	17400
MEDN462	439000	443000	435000	432000	1050000	1030000	1000000	1070000	901000	788000	675000	790000
MEDN463	263000	568000	420000	576000	3790000	3950000	4280000	4130000	2160000	2520000	2890000	2330000
MEDN466	106000	139000	128000	151000	117000	116000	113000	112000	89800	120000	151000	129000
MEDN470	435000	438000	439000	443000	418000	425000	438000	445000	391000	379000	367000	343000
MEDN478	74200	94800	73800	73400	268000	255000	228000	218000	129000	126000	124000	157000
MEDN480	1510000	1560000	1590000	1670000	1810000	3000000	5390000	2280000	3060000	2130000	1200000	1570000
MEDN485	98700	84600	125000	152000	200000	252000	355000	229000	217000	205000	194000	170000
MEDN486	4550000	4930000	4580000	4620000	4430000	4610000	4970000	5510000	4160000	5080000	6010000	3440000
MEDN491	3180	3920	3110	3050	5150	5200	5310	5490	6830	7280	7730	6760
MEDN494	1920000	2020000	2070000	2220000	3380000	3440000	3550000	3360000	6450000	6420000	6380000	6850000
MEDN496	126000	180000	146000	167000	289000	273000	240000	276000	114000	106000	97100	90500
MEDN498	63500	99100	97100	131000	331000	364000	431000	342000	125000	136000	148000	102000
MEDN499	44600	161000	89000	133000	769000	729000	648000	710000	420000	552000	685000	565000
MEDN502	124000	216000	169000	214000	237000	227000	206000	223000	191000	252000	314000	223000
MEDN506	260000	391000	316000	372000	639000	636000	631000	657000	691000	538000	385000	868000
MEDN507	5040	8520	6240	7430	5320	4720	3510	4800	6130	6610	7090	3260
MEDN530	71900	95600	93700	115000	253000	264000	286000	286000	258000	216000	174000	203000
MEDN533	500000	712000	646000	792000	8090000	7370000	5930000	7900000	1330000	1130000	938000	774000
MEDN535	10500	14200	11800	13100	93100	100000	114000	96100	81200	73700	66300	40600
