ID	group
ID222001	tran1
ID222002	tran2
ID222003	tran3
ID222004	tran4
ID222005	tran5
ID222006	tran1
ID222007	tran2
ID222008	tran3
ID222009	tran4
ID222010	tran5
ID222011	tran1
ID222012	tran2
ID222013	tran3
ID222014	tran4
ID222015	tran5
ID222016	tran1
ID222017	tran2
ID222018	tran3
ID222019	tran4
ID222020	tran5
ID222021	tran1
ID222022	tran2
ID222023	tran3
ID222024	tran4
ID222025	tran5
ID222026	tran1
ID222027	tran2
ID222028	tran3
ID222029	tran4
ID222030	tran5
ID222031	tran1
ID222032	tran2
ID222033	tran3
ID222034	tran4
ID222035	tran5
ID222036	tran1
ID222037	tran2
ID222038	tran3
ID222039	tran4
ID222040	tran5
ID222041	tran1
ID222042	tran2
ID222043	tran3
ID222044	tran4
ID222045	tran5
ID222046	tran1
ID222047	tran2
ID222048	tran3
ID222049	tran4
ID222050	tran5
ID222051	tran1
ID222052	tran2
ID222053	tran3
ID222054	tran4
ID222055	tran5
ID222056	tran1
ID222057	tran2
ID222058	tran3
ID222059	tran4
ID222060	tran5
ID222061	tran1
ID222062	tran2
ID222063	tran3
ID222064	tran4
ID222065	tran5
ID222066	tran1
ID222067	tran2
ID222068	tran3
ID222069	tran4
ID222070	tran5
ID222071	tran1
ID222072	tran2
ID222073	tran3
ID222074	tran4
ID222075	tran5
ID222076	tran1
ID222077	tran2
ID222078	tran3
ID222079	tran4
ID222080	tran5
ID222081	tran1
ID222082	tran2
ID222083	tran3
ID222084	tran4
ID222085	tran5
ID222086	tran1
ID222087	tran2
ID222088	tran3
ID222089	tran4
ID222090	tran5
ID222091	tran1
ID222092	tran2
ID222093	tran3
ID222094	tran4
ID222095	tran5
ID222096	tran1
ID222097	tran2
ID222098	tran3
ID222099	tran4
ID222100	tran5
ID222101	tran1
ID222102	tran2
ID222103	tran3
ID222104	tran4
ID222105	tran5
ID222106	tran1
ID222107	tran2
ID222108	tran3
ID222109	tran4
ID222110	tran5
ID222111	tran1
ID222112	tran2
ID222113	tran3
ID222114	tran4
ID222115	tran5
ID222116	tran1
ID222117	tran2
ID222118	tran3
ID222119	tran4
ID222120	tran5
ID222121	tran1
ID222122	tran2
ID222123	tran3
ID222124	tran4
ID222125	tran5
ID222126	tran1
ID222127	tran2
ID222128	tran3
ID222129	tran4
ID222130	tran5
ID222131	tran1
ID222132	tran2
ID222133	tran3
ID222134	tran4
ID222135	tran5
ID222136	tran1
ID222137	tran2
ID222138	tran3
ID222139	tran4
ID222140	tran5
ID222141	tran1
ID222142	tran2
ID222143	tran3
ID222144	tran4
ID222145	tran5
ID222146	tran1
ID222147	tran2
ID222148	tran3
ID222149	tran4
ID222150	tran5
ID222151	tran1
ID222152	tran2
ID222153	tran3
ID222154	tran4
ID222155	tran5
ID222156	tran1
ID222157	tran2
ID222158	tran3
ID222159	tran4
ID222160	tran5
ID222161	tran1
ID222162	tran2
ID222163	tran3
ID222164	tran4
ID222165	tran5
ID222166	tran1
ID222167	tran2
ID222168	tran3
ID222169	tran4
ID222170	tran5
ID222171	tran1
ID222172	tran2
ID222173	tran3
ID222174	tran4
ID222175	tran5
ID222176	tran1
ID222177	tran2
ID222178	tran3
ID222179	tran4
ID222180	tran5
ID222181	tran1
ID222182	tran2
ID222183	tran3
ID222184	tran4
ID222185	tran5
ID222186	tran1
ID222187	tran2
ID222188	tran3
ID222189	tran4
ID222190	tran5
ID222191	tran1
ID222192	tran2
ID222193	tran3
ID222194	tran4
ID222195	tran5
ID222196	tran1
ID222197	tran2
ID222198	tran3
ID222199	tran4
ID222200	tran5
