ID	YX-1	YX-2	YX-3	YX-4	ZH-1	ZH-2	ZH-3	ZH-4	type
CSS0001841	0	0	0	0	0	22	144	65	up
CSS0046893	542	691	645	599	913	543	1050	665	nodiff
CSS0028000	275	372	294	351	178	108	194	147	nodiff
novel1054	1	1	9	5.19	4	120.22	68.13	107.1	up
CSS0023469	1.48	0	0.71	1.43	0.82	190.79	304.53	0	up
CSS0035195	239.46	166.31	141.79	180.87	19.73	28.08	38.85	51.88	down
CSS0013797	50	101	57	150.32	20	15	18	17	down
CSS0006875	69.75	75.59	53.48	80.51	11.85	11.75	29.1	8.92	down
novel8227	2581.55	997.91	1405.78	1085.08	358.38	225.89	425.68	406.82	down
novel9424	3	8	2.05	4	29	16	35	13.64	up
CSS0038946	40.83	26.44	26.61	45.93	1553.88	23.44	667.49	41.39	up
CSS0016307	208.56	59.57	36.31	414.76	13.86	0	16.95	7	down
CSS0049483	88.4	85.49	0	118.91	0	0	0	0	down
novel4412	142.36	11.12	86.82	118.21	9.27	2.02	2.01	8.11	down
CSS0009133	1294	1577	1526	2388	680	563	516	532	down
novel243	6	18.58	12.62	7.08	13.11	65	159	100.03	up
CSS0016973	45.84	257.32	76.41	58.23	587.33	437.29	282.38	422.12	up
CSS0004249	1.9	6.38	0	0	138.94	162.62	308.95	0	up
CSS0019531	1.05	5.22	1.03	5.33	7.4	107.3	157.19	5.39	up
novel10401	5	4	6	2	1	70.71	670.04	10	up
CSS0029528	147	99	105	158	28	24	29	41	down
CSS0017741	36.4	67.12	99.59	85.05	153.04	415.56	213.38	259.72	up
CSS0033291	115	38	46	27	18	621	1687	607	up
CSS0048526	0	0	0	0	94.38	0	63.19	30.2	up
CSS0010274	156.51	180.79	204.14	113.84	796.42	409.31	1379.02	148.41	up
CSS0049362	144.92	41.47	130.36	253.94	27.41	8.48	15.55	24.41	down
CSS0005441	35.33	16.52	14.3	22.19	48.71	77.98	209.35	61.29	up
CSS0022053	1266.07	1794.21	772.82	1271.91	2662.93	2425.81	3481.45	1458.49	up
CSS0042358	148	271	142	160	297	252	444	275	up
novel7535	0	122	52	119	0	0	0	0	down
CSS0037887	228.52	171.4	105.34	139.91	22.76	19.37	68.2	16.48	down
novel1009	0	0	3	5	21.02	143	1	261.59	up
novel6595	8.6	57.08	30.88	10.05	0	0	0	1	down
CSS0023577	2141.79	2448.84	3469.86	1419.73	5829.96	3642.65	6370.82	4721.94	up
CSS0008541	42	31	63	94	4	0	0	6	down
CSS0047700	0	0	0	0	0	38.38	91.12	43.71	up
novel9340	1660	110	1105	605	86	82	133	77	down
novel6720	6	17	6	13.07	56	75.41	20.15	63	up
CSS0034337	9.12	43.45	4.8	43.15	0	0	0	0	down
CSS0022457	67	75	24	35	72	324	236	286	up
novel2865	0	0	0	0	0	178	38	10	up
CSS0041780	1815	1883	2194.92	2603	1237	798	1174	759	nodiff
CSS0030532	6.97	176	68	155	5	3	9	8	down
CSS0029987	11.56	8.05	68.23	101.46	0	0	2	0	down
novel5143	0	2	2	1.02	44	39	58	1	up
novel8210	22.24	0	16.94	4.8	1916.44	8.86	859.96	7.85	up
CSS0021934	262.2	107.9	279.49	607.16	67.58	38.62	66.48	58.38	down
CSS0014346	303.43	254.59	331.41	508.32	709.2	434.17	726.16	444.53	up
CSS0008106	33.48	42.85	18.67	29.86	132.4	77.53	59.16	63.22	up
CSS0005626	1441.99	329	1194	6522	195	140	432	134	down
CSS0010167	17.21	1.26	3.89	2.02	6.75	327.9	647.64	3.79	up
CSS0030537	3703	4548	6171	6182	11532	5240	9121	6865	nodiff
CSS0007353	1068.54	814.67	1565.62	1091.98	4245.1	1446.4	3437	1504.58	up
CSS0011806	0	0	0	0	4.09	64.05	230.94	0	up
CSS0009626	15.51	400.65	412.56	34.78	12.93	8.5	13.12	13.41	down
novel1240	3	8	6	4	24	20	21	38	up
CSS0033067	985	1003.24	969.81	893.97	1970.36	862	1470	1110	nodiff
CSS0011242	239	380	169	396	116	71	139	77	down
novel2699	8	1	9	3	39	15	69	41	up
CSS0031476	17	13.48	71.28	5.24	0	0	0	0	down
CSS0035629	112.9	96.78	109.89	89.05	324.15	125.67	364.76	119.7	up
novel8797	24	15.63	16	25.08	48.01	35.92	79.81	40.95	up
novel119	31.99	41.55	15.4	11	60.05	381.62	41.13	300.31	up
CSS0008148	2.62	16.22	6.9	2.07	408.11	11.7	231.85	5	up
novel6687	12	15	18	19	1	0	0	0	down
CSS0036679	0.41	0	0	0	81.33	17.07	86.56	0	up
CSS0001232	4.93	12.16	1.67	5.91	8.37	356.07	0	618.52	up
CSS0016426	1250.87	590.6	1026.08	471.62	1806.12	2190.67	3885.48	1988.78	up
CSS0024384	428	416	388	446	228	95	270	148	nodiff
novel11678	318.23	2172.67	1123.12	2229.75	275.6	229.01	74.23	94.36	down
CSS0020372	59	204	222	820	47	22	43	37	down
novel4546	3.85	65.84	20.41	46.15	1.18	0	0	1	down
CSS0040928	0	0	0	0	208.82	0	1.67	101.76	up
CSS0000063	3126.11	4169.84	1030.01	1001.97	29913.64	6616.71	14840.7	2598.3	up
CSS0019917	49.02	100.3	10.82	25.03	437.67	117.33	144.77	233.4	up
novel7309	6.97	15.36	14.3	27.56	0	0	0	0	down
CSS0032947	17.54	129.87	16.23	122.63	9	1	1	3	down
novel964	127	19	3	8	0	0	0	0	down
novel8168	1	9	4.93	3.78	0	108.37	1267.29	4	up
novel10255	4	2.03	8.97	0	19.94	209.98	1	348.63	up
novel3428	14	51	6	10	140	59	142	62.32	up
novel133	0	1	0	1	88.57	6	205.18	0	up
CSS0009105	305	254	157	235	105	30	105	54	down
novel8182	2	49.2	20.14	32.06	0	0	0	0	down
novel2888	47.04	17.01	4.12	2.54	23.32	625.63	736.23	35.91	up
novel10965	632.66	432.37	130.95	554.03	558.87	1535.6	3474.97	1932.4	up
novel2704	16.47	8.6	2.91	14.22	38.94	187.57	87.35	19.5	up
CSS0015719	637	1144	1195	780	3223	1022	2026	1401	up
CSS0006658	35	562	299	709	58	25	63	11	down
CSS0008875	266	419	169	421	103	53	154	84	down
CSS0043372	706	520	797	1124	293	86	387	122	down
novel17	24	16	13	2	123.96	55	255	27	up
CSS0034799	66	49.42	52.69	49.03	136	73.87	101.39	117.89	up
CSS0022401	128	108	82	72.7	1.44	4.86	26.02	3.26	down
novel1187	6.74	1	76.8	83.89	0	0	0	0	down
novel10776	150	40	2	12	1.39	0	1	0	down
CSS0025539	171	162	126	193	78	50	85	59	nodiff
CSS0013879	2.84	6.91	0	0	58.34	23.6	35.6	17.3	up
novel1736	156	131	0	13	0	0	0	0	down
CSS0004201	651.38	467.55	560.15	620.73	1171.55	617.7	2066.98	757.81	up
CSS0012307	1274.8	1961.33	1079.52	1561.13	2619.32	1414.2	2252.63	1493.51	nodiff
CSS0005115	907	1617	1966	1896	777.15	382	778	491.11	down
CSS0003263	337	679	1106	565	3125	1033	1450	1818	up
CSS0033641	1735.19	1540.76	2500.18	3355.57	768	612.41	598.7	741.18	down
novel4336	85.01	25.88	17.81	137.04	8.05	0	1	0	down
novel7412	28.42	77.31	1	21.88	0	0	0	0	down
CSS0021538	571.23	567.68	618.17	858.56	1457.54	611.05	1037.88	752.53	nodiff
CSS0025205	122.85	165.62	195.61	198.88	731.16	230.51	536.3	170.12	up
CSS0044024	278.32	228.44	259.38	302.96	621.91	251.7	444.69	526.05	up
CSS0021058	472	201	414	753.94	121	23	106	109	down
CSS0001954	84.52	125.79	105.19	103.97	298.69	94.3	352.71	136.27	up
CSS0004636	58.81	176.47	100.95	118.88	31.74	7.39	18.92	30.46	down
CSS0005827	367.96	833.38	584.14	595.9	1205.34	595.29	1123.16	754.63	nodiff
CSS0027353	353	317	338	235	624	490	915	355	up
novel5879	0	0	0	0	37.91	26.77	78.36	0	up
CSS0046633	15	5	7	4	50	7	231	58	up
CSS0041827	3.62	4	4.92	1	102.6	18.58	1.22	160.51	up
CSS0013590	104	208	141	169	329	240	373	155	up
CSS0007751	12.24	648.86	43.04	723.06	26.65	5.07	0	2.51	down
novel5829	48.74	0	67.34	101.29	0	0	0	0	down
CSS0029776	340.8	472.74	312.79	591.44	799.52	777.28	1088.33	436.82	up
CSS0034223	159.98	179.69	204.7	84.3	426.66	515.52	342.5	331.27	up
novel2037	1.83	10.03	65.54	60.54	0	0	0.56	0	down
novel9460	221.79	56.59	87.76	100.31	348.94	235	575.68	339.19	up
CSS0035653	23.1	71.24	35.18	71.04	201.49	188.93	99.44	95.15	up
CSS0024185	72.5	69.67	33.97	73.07	107	103	166.08	134	up
CSS0040343	5	54	288	61	3	5	8	3	down
CSS0012761	10	17	7	24	0	0	0	0	down
CSS0012118	523.95	2478.41	1691.62	231.35	193.21	114.85	217.72	155.61	down
CSS0018087	39.79	40.2	273.1	228.55	2.5	3.52	26.09	8.56	down
CSS0015595	244.64	620.54	640.09	37.05	58.86	28.13	14.31	38.5	down
novel8122	1	21	15.03	0	83.92	102.98	207.06	62.37	up
novel6046	111	264	216	234	85	27	86	24	down
CSS0040761	44	104	63	76	147	105	215	90	up
CSS0016245	41	37	32	63	14	7	8	8	down
novel10402	2	2	4	1	6	18.87	169.86	7	up
CSS0045850	83	112	110	185	49	12	40	34	down
novel11587	4	15.58	66.93	54.42	2	0.97	1	0	down
CSS0013482	740	216	139	336	68	57	52	60	down
CSS0027475	3872.09	3350.32	2277.79	3511.89	4481.3	5728.33	10415.32	4690.34	up
CSS0043709	50.17	0	53.49	107.49	0	0	0	0	down
CSS0012502	280.6	311.5	469.58	402.05	602.03	581.69	858.05	499.15	up
CSS0021201	148.61	323.89	181.31	224.01	485.76	263.42	337.43	331.62	up
CSS0024950	444.99	138.34	37.85	456.8	49.3	25	10.88	17.78	down
CSS0042635	12.95	18.78	6.29	17.46	0	0	0	0	down
CSS0011545	466.69	551.04	561.15	449.37	1000.67	543.23	903.02	490.98	nodiff
novel4445	2.24	0	4.24	0	6.51	47.66	22	50.5	up
CSS0050265	175.69	215.68	161.25	245.75	107.48	71.75	93.18	77.84	nodiff
CSS0021343	270	880	506	300	2433	663	1317	904	up
novel11421	5	3	3	1	2	33	210	16	up
novel1692	2	187	141	1	0	1	0	1	down
CSS0044333	6689.57	786.1	3838.19	6317.65	1012.69	118.71	896.89	107.48	down
CSS0028109	193.45	133.04	249.45	176.48	708.92	210.23	411.41	343.99	up
CSS0005698	49.97	63.37	28.67	56.99	5.19	9.54	14.27	5.01	down
CSS0033508	286.51	82.94	143.44	81.36	176.95	587.96	1211.61	976.81	up
CSS0017147	175.54	28.58	5.88	40.92	2	0	5	0	down
CSS0015081	96	93	9	5	0	1	2	2	down
novel3883	1	2	470	229	1	0	0	4	down
novel1006	0	74.2	53	77	0	0	0	1	down
CSS0011025	161	253	223	1148	43	49	67	75	down
novel9700	0	0	1	0	0	23.52	105.13	21.18	up
CSS0026934	45.31	271.33	45.87	1396.38	14.25	9.02	59.6	13	down
CSS0031625	133.68	238.88	102.44	263.7	71.78	49.11	49.03	33.98	down
novel6693	2	5	2	2	6	1	87	145.09	up
CSS0007621	8538	9277	3798	4992	14268	8331	15574	13148	up
novel2722	28.62	0	132.27	88.71	1	1	0	0	down
CSS0037945	2.38	3.78	2.1	1.93	211.89	10.3	93.15	0	up
CSS0026393	813	1157	1114	979	610	379	631	417	nodiff
CSS0036227	0	0	0	0	88.99	8.45	0	59.34	up
CSS0030434	262	336	207	295	398	242	441	312	nodiff
CSS0014950	113	80	11	158	14	0	7	4	down
novel6127	175.7	14.84	8.29	25.52	57.7	1886.87	2399.16	81.3	up
CSS0012012	424.11	351.28	310.61	443.01	583.07	346.74	784.38	490.6	nodiff
novel10422	1	1	3	8	4.79	77	155	6.08	up
CSS0007250	201	238	204	310	109	43	146	75	down
CSS0035148	27.4	21.33	19.98	26.25	63.51	89.75	209.31	24.97	up
CSS0013444	76	110	49	84	27	9	35	17	down
CSS0033893	185.8	207.29	212.45	169.17	288.56	198.97	431.39	313.07	nodiff
novel1046	4	11	15	48	0	0	0	0	down
CSS0042680	320	716	31	154	43	2	19	28	down
CSS0004023	14	38.55	24.76	25	236	21	420	40	up
CSS0002968	219	212	202	150	385	231	321	297	nodiff
CSS0015268	22	15	28	29	105	89	1216	6	up
CSS0027087	234	177	148	325	43	53	52	70	down
CSS0005249	75.51	152.81	100.83	124.17	273.71	149.42	228.12	114.56	up
novel2021	1	195	261	1	0	2	1	0	down
novel4544	161.97	21.07	31.92	134	18.4	1	3	2	down
CSS0031784	111	94	66	119	222	136	521	126	up
novel4408	9	5	4	3	31	25	42	10	up
CSS0012768	22	50	51	126	10	5	16	5	down
CSS0010594	140	92	131	70	422	156	245	187	up
CSS0042088	844.02	938.46	651.65	952.97	471.9	265.94	613.82	312.63	nodiff
CSS0010997	2	0	0	3	12.54	37.04	11.37	18.38	up
CSS0028401	728.11	1240.26	1259.85	1583.07	585.72	247.37	184.65	321.54	down
CSS0032462	586.84	683.03	477.33	580.15	358.97	229.39	311.77	185.06	nodiff
CSS0043607	4	61	71	84	4	5	3	1	down
novel7570	0	0	0	0	1	11	32	17	up
CSS0008154	657	1569	1095	2111	561	302	188	267	down
CSS0010981	304.56	400.01	265.3	370.65	614.54	275.13	555.08	316.99	nodiff
CSS0008867	2626.65	1551.53	2170.66	1402.86	563.34	448.65	450.08	696.99	down
