ID	YX-1	YX-2	YX-3	YX-4	ZH-1	ZH-2	ZH-3	ZH-4	type
CSS0012634	1383.36	736.9	1101	695	11.99	2.13	9.84	12	down
novel3959	3	1	5	3	281	75	143	138	up
novel3804	6	2	0	5	372	109	285	101	up
CSS0025744	58.04	1502.65	2821.51	4665.1	0	3	1	2	down
CSS0028284	257.98	425.19	390.96	523	1556	748.58	1817.45	1083.68	up
CSS0038974	0	0	0	0	200	99.65	89.6	180	up
CSS0003702	578.81	313.74	612.68	308.39	13.76	2.81	11.01	0	down
novel8114	156	174	146	95	0.63	1	0	3.36	down
CSS0002901	9.81	15.32	9.78	7	108.42	238.58	243.41	96.55	up
CSS0009146	118.28	81.95	169.56	110.1	0	0	0	0	down
novel10822	0	0	0	2.14	192.91	135.98	111.08	258.06	up
CSS0001907	245	206	173	287	735	434	609	478	up
CSS0043426	0	0	0	0	2359.03	644.8	0	0	up
novel6528	94	145	161	127	0	0	4	0	down
novel6613	60.65	163.78	96.4	350.85	4	3	2	4	down
CSS0019594	2769.71	1121.1	1124.12	1154.64	92.52	30.91	137.42	15.41	down
novel3797	0	2	2	5	264	27	121	93	up
novel10493	0	0	0	0	112	39	53	29	up
CSS0038559	328.63	49.02	220.88	397.42	2.66	2.64	0	0	down
CSS0028269	0	0	0	0	0	179.98	0	260.39	up
CSS0000036	139	1346	1110	1314	61	25	70	25	down
CSS0038463	55.96	117	36	58.99	0	0	0	0	down
CSS0047904	403.23	217.93	910.63	242.37	7.39	0	14.1	0	down
CSS0030523	274.33	385.15	241.16	368.78	78.21	26.06	103.42	59.8	down
CSS0021827	116.48	580.98	677.79	1852.16	10.58	15.04	23.17	38.26	down
novel10470	0	0	0	0	59	13	39	36	up
CSS0013862	6569.33	6436.78	7124.99	12054.18	2743.86	1412.71	2593.49	2148.76	down
CSS0045460	264.03	309	275	459	53	38	75	79	down
CSS0034464	497.31	13.45	1939.88	2079.29	8.58	10	4.66	14.59	down
CSS0015907	350.69	41.77	51.08	92.6	0	0	1	0	down
CSS0023690	0	0	0	0	31.82	17.49	33.37	20.19	up
CSS0036474	0	0	0	0	44.93	27.31	20.37	22.68	up
CSS0024909	108.36	141.86	85.57	131.02	325.05	282.85	418.7	180.48	up
CSS0017895	9566.39	9298.31	6018.06	8779.74	2031.42	1566.05	1219.16	1878.85	down
novel2088	0	1.01	1	2	261.3	17.23	145.99	16.65	up
novel10746	19.86	14.07	1.03	0	175.76	343.76	894.24	303.43	up
CSS0011415	198	225	214	277	510	245	416	357	up
novel3770	0	0	0	0	34.14	17.09	71.84	14.04	up
CSS0050135	0	0	10.21	2.01	111	109	149.9	103	up
CSS0004898	58.41	167.94	107.16	72.92	311.22	568.28	584.46	429.63	up
CSS0006069	56.6	61.94	69.32	73.1	151.51	89.37	186.3	113.22	up
CSS0029011	8.36	236.18	170.35	277.46	1.97	2.25	4.49	0	down
CSS0029049	93.25	105.29	107.57	84.93	216.26	148.97	273.26	160.93	up
novel2736	7.67	3.48	3.05	1.01	76.75	158.34	54.35	35.12	up
CSS0006188	31.45	66.39	16.15	42.66	0	0	0	0	down
CSS0039933	13.57	8.21	26.51	97.62	1063.02	352.77	186.12	634.43	up
novel10972	14	218.07	65.39	118.09	1	0	2	0	down
novel10996	34.24	141.92	61.04	68.55	1	1.54	0	4	down
CSS0035601	5	490.5	495.5	218	7	1	0	1	down
CSS0030543	263.05	163.81	257.17	320.26	44.32	11.52	4.99	4.76	down
CSS0044780	54.73	77.02	42.9	47.75	222.83	71.37	251.61	139.71	up
CSS0044162	1786	2663	1502	2135	4221	2170	5170	2632	up
CSS0001210	31.51	45.29	84.35	46.89	237.05	111.34	222.66	230.78	up
CSS0030934	573	302	264	581	110	21	74	24	down
CSS0021051	70.12	130.7	106.55	147.01	17.95	5	17.07	1	down
novel6864	98.31	103.7	251.59	141.28	538.15	363.98	1272.05	588.72	up
CSS0025273	108.3	144.32	103.03	104.26	270.71	172.53	213.09	195.1	up
CSS0011655	1909	1038.52	956.39	116.78	65.58	32.89	114.38	28.67	down
CSS0042195	0	1.19	0	3.57	807.69	111.88	1.14	124.21	up
CSS0007911	169.91	1246.55	1132.19	1337.46	10.81	7.24	1.23	54.29	down
novel5147	1	3	3	0	31	17	40	59	up
novel11165	26	295	161	93	5	5	0	1	down
novel1594	17	858.19	1036	1127	27	2	0	2.43	down
CSS0023186	40.12	24.2	21.46	25.12	0	0	0	0	down
novel2096	11	33	73	45	0	0	0	0	down
novel8102	42	27	36	28	1	0	0	0	down
novel8083	466.71	368.45	255.7	507.99	128.18	59.98	163.59	72.3	down
CSS0011027	160.89	430.78	555.79	0	0	0	0	1.1	down
novel10748	97.1	98.1	63.76	130.36	120.3	647.96	1531.09	759.86	up
CSS0046472	4574	631	662	1707	138	154	104	86	down
CSS0019209	105.1	143.85	121.83	118.31	47.11	20.66	22.81	26.61	down
CSS0027065	333.92	658.41	650.96	382.29	3354.67	1093.96	1787.44	868.76	up
novel6797	264	37	58	20	1	0	3	1	down
CSS0041619	3363.52	3588.62	6045.67	2906.7	17478.18	8776.31	15578.18	6559.15	up
novel11536	24	63.88	18.04	41	0	0	0	1	down
CSS0032198	137	69.74	261.66	233.09	34.31	16.41	22	10	down
CSS0002222	428.89	643.87	496.03	715.74	1069.01	526.98	979.69	740.37	nodiff
novel5750	3	7	12	6	622	5	1185	15	up
CSS0045009	87.86	115.88	111.18	138.76	336.48	166.56	354.18	135.31	up
CSS0041210	7901	8808	8432	15036	3814	2412	4831	3050	down
novel9454	210.83	142.67	97.11	70.22	146.04	1896.39	1395.94	2343.66	up
CSS0044555	415	590	496	625	194	164	261	185	down
CSS0019049	11	20	7	9	62	49	163	33	up
CSS0020653	10.01	8.07	12.01	8.02	355.2	2	677.48	152.56	up
novel2854	4	7	6	9.53	702.93	6.64	592.9	10.15	up
CSS0029355	583	933	652	754	1266	771	1135	848	nodiff
CSS0049031	0	1	1	0	0.65	166.39	28	198.19	up
CSS0038963	1242	1310	684	2538	383	88	393	162	down
CSS0007521	2	106	137	184	1	1	0	1	down
CSS0027665	607	551	517	598	258	124	307	208	down
novel11491	15	17	30	41	0	0	0	0	down
CSS0045755	60.09	40.62	51.43	76.9	156.04	83.73	170.3	100.88	up
CSS0046371	126.44	27.43	37.69	290.24	6.14	3	5.05	0	down
CSS0000299	64.51	123.38	115.35	97.12	299.49	306.56	337.53	150.69	up
novel364	37	55	61	43	0	3	0	0	down
CSS0023309	301	593	312	605	115	57	197	68	down
novel5420	1	0	4	2	61	13	39	20	up
CSS0045030	286.5	226.94	250.87	297.16	734.59	292.6	570.46	352.58	up
CSS0031559	74	59	160	153	20	9	22	15	down
CSS0012298	18.5	40.3	40.22	33.51	58.97	179.44	264.26	149.58	up
CSS0019264	486	1353	899	628	251	160	130	140	down
novel8344	129	151	85	1	0	0	1	0	down
novel11596	195	200	237	0	1	0	0	0	down
novel6852	13.37	115.77	24.22	32.65	0	0	0	1.24	down
CSS0028933	8443.57	2739.78	7155.35	16621.21	1260.61	1153.5	1824.14	821.03	down
CSS0006435	69	83	102	70	11	8	24.18	4	down
CSS0006674	471	275	296	495	855	669	1438	665	up
CSS0026466	232	17	487	352	12	12	1	5	down
novel8927	1.05	0	0	0	137.03	4.15	157.46	2.58	up
CSS0042177	1083.79	1685.76	1724.11	710.63	9142.82	3546.45	10682.9	1641.82	up
CSS0043415	1	0	1	2	173	0	138	88	up
CSS0038981	7.88	58.28	86.45	13.73	0	0	0	0	down
CSS0005963	542	545	693	1007	153	175	101	80	down
CSS0012083	105.61	231.66	166.6	108.39	655.64	188.4	581.28	320.8	up
CSS0008915	703	378	469	1565	20	12	145	7	down
CSS0027261	39.09	93.51	19.74	24.49	235.06	119.97	202.11	162.56	up
CSS0025750	41.37	23.8	32.7	62.11	126.81	61.93	177.26	118.45	up
CSS0010922	978	1278	900	2140	499	122	406	298	down
CSS0013094	44	66	25	87	3799	24	75	2983	up
novel2629	0	0	0	0	11.96	18.56	125.32	3.61	up
CSS0024901	14.44	10.25	0	20.06	80.97	101.15	131.7	82.07	up
CSS0037404	76.56	133	26.88	116.53	8	3	11.48	0	down
CSS0023524	484	880	911	758	1566	897	1604	1274	up
CSS0030006	284	285	207	298	487	268	429.65	346	nodiff
CSS0024670	0	2.05	0	0	0	124.78	217.7	167.84	up
