ID	CT1-1	CT1-2	CT1-3	CT2-1	CT2-2	CT2-3	CT3-1	CT3-2	CT3-3	CT4-1	CT4-2	CT4-3
EdulChr30G00120850	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr82G00270410	0.17	0.12	0.12	0	0	0	0	0	0	0	0	0
EdulChr53G00191870	5.43	5.78	5.71	3.8	4.18	4.19	9.5	8.96	9.77	6.03	5.68	5.72
EdulChr65G00223530	0.12	0	0.34	0	0	0	0.15	0	0	0	0.13	0
EdulChr60G00209500	0	0	0	0	0	0	0	0	0	0	0	0
novel2515	5.57	1.63	0	1.24	0.85	0	5.78	2.32	1.68	1.34	1.72	0
EdulChr90G00289660	1.29	1.36	1.45	0.38	0.28	0.22	0.96	0.96	0.91	0.75	0.43	0.24
novel1527	9.37	11.52	8.55	7.35	7.97	7.23	9.52	9.14	7.68	4.94	3.78	3.73
EdulChr44G00165150	20.84	19.71	17.33	3.84	3	4.26	29.07	28.16	28.19	11.96	15.09	13.04
EdulChr83G00273570	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr9G00041720	14.46	13.02	12.5	12.03	8.54	9.45	7.24	6.43	6.54	4.11	4.02	4.7
EdulChr74G00248020	0.69	0.65	0.82	0.12	0.13	0.06	0.3	0.26	0.31	0.51	0.18	0.54
EdulChr54G00195890	0.04	0.07	0.04	0	0	0	0	0	0	0	0	0
EdulChr61G00211940	0	0	0	0	0	0	0	0	0	0	0	0
novel2038	0.04	0.07	0.12	0	0	0	0	0	0	0	0	0
novel399	1.48	1.55	1.37	0.59	0.89	0.47	1.06	0.95	0.97	0.46	0.15	0.13
EdulChr94G00298890	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr64G00219720	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr40G00153840	25.42	28.32	25.55	20.31	19.5	21.63	27.65	29.3	27.42	20.45	21.84	18.89
EdulChr31G00124800	4.91	4.82	4.69	5.45	4.53	5.48	2.42	3.4	2.59	2.25	2.64	3.13
EdulChr87G00282790	8.26	7.01	7.46	0.14	0.05	0.05	0	0	0	0	0	0
EdulChr105G00322380	13.04	14.27	13.23	29.15	26.78	27.81	25.71	24.17	26.55	17.6	19.44	18.43
EdulChr16G00070260	26.1	24.92	22.91	9.13	9.97	10.21	18.58	19.57	17.04	7.51	7.98	8.3
EdulChr86G00280720	0.13	0.13	0.08	0	0	0	0	0	0	0	0	0
EdulChr43G00162450	8.77	8.85	8.29	23.1	23.81	25.3	17.57	18.04	18.02	13.45	13.76	14.61
EdulChr71G00240090	408.48	418.07	378.49	492.19	517.44	507.29	422.38	430.49	432.93	225.17	227.48	234.12
EdulChr3G00015220	158.35	153.53	137.87	246.79	228.7	195.95	220.54	207.59	230.62	162.39	143.13	158.6
EdulChr106G00324360	6.42	5.96	6.24	9.63	7.97	9.19	5.52	4.87	5.25	6.49	6.6	5.93
EdulChr31G00124340	3.57	3.88	3.89	1.89	2.47	1.98	3.46	4.31	4.63	3.46	2.99	3.15
EdulChr70G00238770	2.21	1.34	0.86	46.21	38.79	46.03	140.03	164.85	132.57	26.6	42.7	24.04
EdulChr25G00101530	0.48	0.97	1.86	0	0	0	0	0	0	0	0	0
EdulChr12G00052740	16.87	18.72	15.58	11.61	12.85	11.38	7.87	8.06	8.13	13.06	12.38	15.12
EdulChr107G00327220	29.96	30.5	28.14	6.6	6.55	6.21	1.96	2.29	2.21	2.14	1.77	1.68
EdulChr60G00209460	0	0	0	0	0	0	0	0.13	0	0	0	0
EdulChr15G00067120	9.47	8.66	7.48	9.7	9.39	8.59	8.5	9.48	9.11	6.09	5.51	6.79
EdulChr5G00022020	0	0	0	0	0	0	0	0	0	0	0	0
novel1205	159.72	162.25	149.18	0.81	0.87	1.12	0.09	0.09	0	0	0	0
EdulChr50G00183560	2.98	2.92	2.73	0	0	0	0	0	0	0	0	0
EdulChr3G00014350	17.65	17.2	16.56	9.38	7.59	9.51	5.01	4.75	5.8	8.27	9.34	8.87
EdulChr89G00287950	9.21	7.36	6.86	6.75	4.79	2.97	3.69	5.5	5.26	4.53	3.65	2.94
EdulChr77G00255500	0.21	0.15	0.19	0.26	0.2	0.29	0.05	0	0.04	0.07	0	0.03
EdulChr103G00318510	51.67	53.23	51.45	78.09	77.24	81	71.53	69.62	70.62	45.53	47.97	45.91
EdulChr5G00022360	3.88	3.99	3.1	0.56	0.48	0.37	0.66	0.77	0.65	0.99	1	0.89
EdulChr24G00098350	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr38G00148430	12.88	13.53	12.16	77.94	76.84	78.93	74.25	73.63	69.92	43.53	39.79	43.35
EdulChr18G00074910	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr59G00207080	15.06	16.71	14.13	8.48	8.12	8.2	22.81	23.94	22.91	12.22	13.5	14.57
EdulChr3G00012430	12.04	14.21	12.5	8	8.02	8.68	9.58	10.87	10.91	6.2	6.01	7.94
EdulChr21G00084810	32.19	29.94	29.66	21.1	18.3	18.23	28.8	29.88	29.62	14.27	13.91	15.88
EdulChr70G00237870	9.8	10.45	9.27	19.44	20.33	20.36	17.16	17.73	17.69	18.35	18.22	18.89
EdulChr28G00111960	32.43	30.89	25.57	177.68	180.62	152.89	1047.06	1045.81	1085.74	102.01	89.57	98.29
EdulChr57G00201190	0.6	0	0	0	0	0	0	0	0	0	0	0
EdulChr31G00122960	0.05	0	0.05	0	0	0	0	0.08	0	0	0	0.07
EdulChr1G00001800	12.59	13.89	11.41	2.35	2.24	2.4	4.11	4.5	3.54	3.89	4.82	4.63
EdulChr98G00308940	31.84	30.77	28.77	6.41	6.08	6.64	10.86	10.88	10.13	5.17	7.03	7.04
EdulChr80G00263640	63.9	67.05	60.79	32.17	32.5	34.67	25.46	24.19	25.09	18.99	19.34	18.3
EdulChr56G00198430	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr97G00306650	1.08	1.02	0.9	0.55	0.38	0.33	0.29	0.25	0.22	0.58	0.4	0.68
EdulChr35G00136150	6.54	7.84	6.18	15.35	15.85	15.96	16.45	16.3	17.17	13.54	13.21	13.55
EdulChr22G00090590	0	0	0	0	0	0	0	0	0	0	0	0
novel666	19.78	18.83	17.36	0.18	0.27	0.14	0.3	0.19	0.31	0.14	0.22	0.09
EdulChr84G00275080	5.17	4.91	4.39	1.3	1.22	1.34	2.51	2.27	2	2.26	2.23	1.99
EdulChr67G00230230	0.28	0.26	0.23	0.63	0.33	0.52	0.77	0.73	0.78	0.57	0.65	0.41
EdulChr2G00009620	11	2.29	4.33	0	0	5.39	3.35	0	3.48	3.14	3.52	0.73
EdulChr23G00093320	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr10G00043260	3.26	3	1.71	0.42	0.27	0.34	0.41	0.3	0	0.45	0.52	0.09
EdulChr90G00290720	0.35	0.73	0.59	0.29	0.31	0.22	0.52	0.52	0.37	0.12	0.08	0.08
EdulChr45G00169140	14.43	14.5	13.57	21.83	20.94	21.52	28.83	27.96	29.75	20.78	23.19	22.12
EdulChr18G00074470	4.95	5.97	4.09	0.09	0.19	0.24	0	0	0	0	0.09	0.07
EdulChr10G00045780	83.96	83.65	76.33	123.17	117.87	118.8	108.77	112.56	108.04	93.83	94.16	93.65
EdulChr50G00184570	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr37G00145220	0	0	0	0	0	0	0	0	0	0	0	0
EdulChr2G00007880	0.28	0.4	0.22	0.2	0.27	0.52	0.23	0.23	0.06	0	0.4	0.21
EdulChr56G00200270	28.29	32.21	28.33	28.55	28.97	26.63	26.77	26.97	29.39	26.97	26.3	28.44
EdulChr3G00015820	0.56	0.62	0.53	0.63	0.42	0.45	1.88	1.78	1.94	0.33	0.38	0.45
EdulChr12G00050370	1.81	1.8	1.92	2.41	2.18	2.41	2.36	2.69	2.97	0.96	1.01	1.03
EdulChr76G00255340	0.03	0	0.03	0.08	0.06	0.08	0.03	0.03	0.06	0.08	0.06	0.05
EdulChr43G00161300	3.39	3.25	3.29	6.37	6.07	6.6	9.64	9.47	9.53	5.61	5.48	5.46
EdulChr7G00031360	14.32	13.84	11.6	0.61	0.85	0.87	0	1.54	0	0.67	0	0.73
EdulChr21G00085950	24.25	22.59	24.07	18.01	18.36	18.58	22.33	23.37	23.26	12.63	12.51	13.98
EdulChr102G00316210	0.19	0.04	0.04	0	0	0	0	0	0	0	0	0
EdulChr57G00201030	0	0	0	0	135.95	0	0	0	0	0	0	0
EdulChr41G00157130	92.6	94.85	87.27	144.51	151.84	146.6	139.92	131.1	118.89	130.04	129.27	130.56
