ID	size	type	pro_type
map00010	2	1	pathway
FBgn0043783	1.391204674	44.8931	tran
FBgn0034356	7.47797091	2.13594	tran
FBgn0086355	0.531209763	67.8391	tran
FBgn0000579	0.511045868	42.1637	tran
FBgn0037537	0.655621221	4.73835	tran
FBgn0011768	0.661099992	6.81907	tran
map00020	2	1	pathway
FBgn0001248	2.472130169	3.93257	tran
FBgn0027580	0.806811126	2.80762	tran
FBgn0024957	0.677144709	6.16099	tran
map00030	2	1	pathway
FBgn0030362	1.216631281	40.9087	tran
FBgn0030593	0.531088536	11.5499	tran
FBgn0025640	0.686436018	0.398206	tran
FBgn0030587	0.949200612	0.282999	tran
FBgn0030592	1.100352299	0.096402	tran
FBgn0016038	0.626459064	0.470198	tran
map00040	2	1	pathway
FBgn0024289	1.343913597	3.10485	tran
FBgn0032684	1.304613694	10.4255	tran
FBgn0027073	1.044327543	14.8166	tran
FBgn0040255	0.810525065	5.54805	tran
FBgn0036290	1.452913401	1.15269	tran
FBgn0033949	0.971007827	4.67382	tran
FBgn0035484	0.683981222	2.30856	tran
FBgn0026314	1.376614965	0.290873	tran
FBgn0038083	1.353176004	0.072684	tran
FBgn0040257	1.762968921	0.255251	tran
FBgn0027070	1.150067812	0.064906	tran
FBgn0026756	1.501883246	0.098512	tran
map00051	2	1	pathway
map00052	2	1	pathway
FBgn0260746	1.46289793	1.76229	tran
FBgn0263200	0.526214121	5.67819	tran
map00053	2	1	pathway
FBgn0036262	0.851824955	23.2655	tran
FBgn0037975	0.516411596	9.19468	tran
FBgn0052557	1.0509917	0.310278	tran
map00061	2	1	pathway
FBgn0283427	0.759596966	0.915673	tran
FBgn0029648	0.990123015	1.87749	tran
FBgn0042627	1.684673287	0.018322	tran
map00062	2	1	pathway
FBgn0040064	0.999439133	12.8688	tran
FBgn0051809	3.25353658	1.96703	tran
FBgn0032524	0.553113583	4.14423	tran
FBgn0038986	0.633724587	0.489781	tran
map00071	2	1	pathway
FBgn0036824	1.329890621	37.695	tran
FBgn0029969	1.322252897	7.60306	tran
FBgn0031813	1.742929936	0.561339	tran
FBgn0034629	1.223954708	1.98923	tran
FBgn0261862	0.607024684	4.78639	tran
FBgn0031774	1.043110316	0.490447	tran
FBgn0037999	0.731482542	1.71206	tran
FBgn0032162	0.610428124	3.07647	tran
FBgn0035203	0.933544542	0.606356	tran
FBgn0032161	0.75517974	0.525498	tran
map00100	2	1	pathway
FBgn0032266	1.924813886	0.888191	tran
FBgn0053503	2.498075564	1.34072	tran
FBgn0032264	0.851105289	1.00725	tran
FBgn0051871	1.470054369	0.39575	tran
FBgn0031533	2.038941992	0.283991	tran
FBgn0032981	1.748237934	0.215753	tran
FBgn0037612	0.790266336	0.096022	tran
map00120	2	1	pathway
FBgn0038665	0.560923643	120.834	tran
FBgn0030731	0.508376386	7.49632	tran
map00130	2	1	pathway
FBgn0033733	4.43202071	1.54079	tran
FBgn0030558	0.923358256	2.48905	tran
FBgn0020545	1.153761219	0.960615	tran
FBgn0038734	0.557708068	0.793946	tran
FBgn0038733	0.632979087	0.156153	tran
map00140	2	1	pathway
map00190	2	1	pathway
FBgn0085201	1.041507304	698.713	tran
FBgn0051030	1.196036932	11.1496	tran
FBgn0010612	0.729532973	210.178	tran
FBgn0011211	0.706229825	64.3001	tran
FBgn0058002	0.891295343	63.7818	tran
FBgn0014391	0.69504389	254.425	tran
FBgn0021967	1.442307804	3.9777	tran
FBgn0013676	0.893031691	24.2657	tran
FBgn0019624	0.609127011	94.6202	tran
FBgn0288810	0.528363016	269.583	tran
FBgn0016691	0.564513169	25.4997	tran
FBgn0011227	0.503242278	239.921	tran
FBgn0085468	0.652397212	35.6123	tran
FBgn0016687	0.669888307	3.15041	tran
FBgn0028670	0.563448795	2.25869	tran
FBgn0263598	0.97485736	0.598311	tran
FBgn0037001	0.596474258	1.82523	tran
FBgn0029971	0.542911484	14.6133	tran
FBgn0013680	0.707022148	6.88583	tran
FBgn0031436	0.693469679	1.70158	tran
FBgn0027082	0.691400591	0.92507	tran
FBgn0013672	0.952365168	1.78736	tran
FBgn0032464	1.247613793	0.046922	tran
FBgn0040705	1.511958076	0.326965	tran
FBgn0051477	1.53981491	0.680707	tran
FBgn0028664	0.906740675	0.172231	tran
map00220	2	1	pathway
FBgn0001125	0.749496299	24.2802	tran
FBgn0001124	0.771567764	4.27819	tran
FBgn0039052	4.37890807	0	tran
FBgn0023535	1.051467309	1.21007	tran
FBgn0261625	0.653758724	0.87965	tran
FBgn0039051	2.464087903	0.091713	tran
FBgn0039049	0.886360431	0.308785	tran
FBgn0003189	1.264901811	0.025218	tran
FBgn0037818	0.901670029	0.060925	tran
map00230	2	1	pathway
FBgn0022709	0.749713544	5.97594	tran
FBgn0053958	2.374670725	0.127363	tran
FBgn0259101	1.787796014	1.68407	tran
FBgn0026602	0.800575156	2.4958	tran
FBgn0259171	2.013864951	0.141293	tran
FBgn0022710	1.094486002	0.592045	tran
FBgn0038467	0.68510695	3.17195	tran
FBgn0029915	2.947638809	0.608874	tran
FBgn0264815	0.630226532	1.43229	tran
FBgn0000053	1.054598659	0.21803	tran
FBgn0034225	2.268710926	0.403174	tran
FBgn0020389	1.032196325	0.687175	tran
FBgn0267408	0.631697545	0.700636	tran
FBgn0037046	0.738085895	6.01052	tran
FBgn0011703	1.705440152	0.04426	tran
FBgn0000109	0.925519608	1.90016	tran
FBgn0003301	0.792173134	0.1219	tran
FBgn0050104	0.548040555	0.933369	tran
FBgn0004901	0.88937311	0.407284	tran
FBgn0000479	0.860714127	0.116619	tran
FBgn0039650	0.537707167	3.76593	tran
FBgn0040089	0.59248132	0.507189	tran
FBgn0038295	0.505544875	0.374798	tran
FBgn0032436	0.987823512	0.181455	tran
FBgn0037661	0.653349763	0.472991	tran
FBgn0038435	0.571072708	0.016962	tran
map00232	2	1	pathway
map00240	2	1	pathway
FBgn0031489	1.118556266	6.46565	tran
FBgn0086450	0.675655984	4.89904	tran
FBgn0028833	1.698799712	0.180311	tran
FBgn0032083	0.801991682	0.316001	tran
FBgn0024920	0.597197769	0.164046	tran
FBgn0000447	0.544618062	0.168566	tran
map00250	2	1	pathway
FBgn0032997	0.731932163	5.01493	tran
map00260	2	1	pathway
FBgn0032350	1.296353274	5.50138	tran
FBgn0038074	0.8738329	18.3719	tran
FBgn0036997	0.841825316	4.72337	tran
FBgn0000566	0.567540949	5.76911	tran
FBgn0037801	0.741152777	0.967822	tran
FBgn0031148	0.756216787	0.515173	tran
FBgn0051673	0.576742978	0.610457	tran
map00261	2	1	pathway
map00270	2	1	pathway
FBgn0032726	1.783923021	0.546554	tran
FBgn0030482	0.770317745	3.55466	tran
FBgn0040319	0.559694635	2.84095	tran
FBgn0034364	0.647780559	8.52777	tran
FBgn0052495	0.521555989	0.284118	tran
FBgn0019932	0.641831537	1.19842	tran
FBgn0015011	0.614437866	0.179745	tran
map00280	2	1	pathway
FBgn0035911	0.537210861	3.31362	tran
