source	target	Class_A_source	Class_B_source	Class_A_target	Class_B_target
map00010	map00650	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00400	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00010	map00770	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Carbohydrate metabolism
map00010	map00380	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00010	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00020	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00561	Metabolism	Lipid metabolism	Metabolism	Carbohydrate metabolism
map00010	map00564	Metabolism	Lipid metabolism	Metabolism	Carbohydrate metabolism
map00010	map00562	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00260	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00010	map00640	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00052	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00630	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00360	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00010	map00051	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00520	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00030	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00040	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00250	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00010	map00500	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00010	map00470	Metabolism	Metabolism of other amino acids	Metabolism	Carbohydrate metabolism
map00010	map00300	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00350	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00010	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00020	map00250	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
