ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	enrichID	Count	rich_factor	Gene_Ratio	fold_enrichment	Class_A	Class_B
map00010	Glycolysis / Gluconeogenesis	6/1218	52/5827	0.974235603105205	0.999999999076521	0.94121096526481	FBgn0043783/FBgn0034356/FBgn0086355/FBgn0000579/FBgn0037537/FBgn0011768	6	0.115384615384615	0.00492610837438424	0.552008336491095	Metabolism	Carbohydrate metabolism
map00020	Citrate cycle (TCA cycle)	4/1218	43/5827	0.987571260009873	0.999999999076521	0.94121096526481	FBgn0001248/FBgn0034356/FBgn0027580/FBgn0024957	4	0.0930232558139535	0.00328407224958949	0.445029976705999	Metabolism	Carbohydrate metabolism
map00030	Pentose phosphate pathway	6/1218	40/5827	0.870661710880183	0.999999999076521	0.94121096526481	FBgn0030362/FBgn0030593/FBgn0025640/FBgn0030587/FBgn0030592/FBgn0016038	6	0.15	0.00492610837438424	0.717610837438424	Metabolism	Carbohydrate metabolism
map00040	Pentose and glucuronate interconversions	13/1218	58/5827	0.439345675299583	0.999999999076521	0.94121096526481	FBgn0024289/FBgn0032684/FBgn0027073/FBgn0040255/FBgn0037537/FBgn0036290/FBgn0033949/FBgn0035484/FBgn0026314/FBgn0038083/FBgn0040257/FBgn0027070/FBgn0026756	13	0.224137931034483	0.0106732348111658	1.07229205594247	Metabolism	Carbohydrate metabolism
map00051	Fructose and mannose metabolism	3/1218	31/5827	0.971277093650505	0.999999999076521	0.94121096526481	FBgn0024289/FBgn0086355/FBgn0036290	3	0.0967741935483871	0.00246305418719212	0.462974733831241	Metabolism	Carbohydrate metabolism
map00052	Galactose metabolism	4/1218	27/5827	0.846428754729707	0.999999999076521	0.94121096526481	FBgn0043783/FBgn0260746/FBgn0036290/FBgn0263200	4	0.148148148148148	0.00328407224958949	0.708751444383628	Metabolism	Carbohydrate metabolism
map00053	Ascorbate and aldarate metabolism	13/1218	48/5827	0.187339014242543	0.947249381874268	0.891561505883713	FBgn0030362/FBgn0036262/FBgn0032684/FBgn0027073/FBgn0040255/FBgn0037537/FBgn0037975/FBgn0026314/FBgn0052557/FBgn0038083/FBgn0040257/FBgn0027070/FBgn0026756	13	0.270833333333333	0.0106732348111658	1.29568623426382	Metabolism	Carbohydrate metabolism
map00061	Fatty acid biosynthesis	3/1218	13/5827	0.531368549470784	0.999999999076521	0.94121096526481	FBgn0283427/FBgn0029648/FBgn0042627	3	0.230769230769231	0.00246305418719212	1.10401667298219	Metabolism	Lipid metabolism
map00062	Fatty acid elongation	4/1218	35/5827	0.953406470887343	0.999999999076521	0.94121096526481	FBgn0040064/FBgn0051809/FBgn0032524/FBgn0038986	4	0.114285714285714	0.00328407224958949	0.546751114238799	Metabolism	Lipid metabolism
map00071	Fatty acid degradation	12/1218	34/5827	0.0371407633255083	0.37037594538493	0.348601901388543	FBgn0036824/FBgn0029969/FBgn0040064/FBgn0031813/FBgn0034629/FBgn0011768/FBgn0261862/FBgn0031774/FBgn0037999/FBgn0032162/FBgn0035203/FBgn0032161	12	0.352941176470588	0.00985221674876847	1.68849608809041	Metabolism	Lipid metabolism
map00100	Steroid biosynthesis	7/1218	26/5827	0.291680068617112	0.999999999076521	0.94121096526481	FBgn0032266/FBgn0053503/FBgn0032264/FBgn0051871/FBgn0031533/FBgn0032981/FBgn0037612	7	0.269230769230769	0.00574712643678161	1.28801945181256	Metabolism	Lipid metabolism
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	5/1218	24/5827	0.583870504589661	0.999999999076521	0.94121096526481	FBgn0033733/FBgn0030558/FBgn0020545/FBgn0038734/FBgn0038733	5	0.208333333333333	0.00410509031198686	0.996681718664477	Metabolism	Metabolism of cofactors and vitamins
map00220	Arginine biosynthesis	9/1218	21/5827	0.0189228940312859	0.238985436079998	0.22493571318481	FBgn0001125/FBgn0001124/FBgn0039052/FBgn0023535/FBgn0261625/FBgn0039051/FBgn0039049/FBgn0003189/FBgn0037818	9	0.428571428571429	0.00738916256157635	2.0503166783955	Metabolism	Amino acid metabolism
map00230	Purine metabolism	26/1218	107/5827	0.223081381087774	0.982010594221112	0.924279140140674	FBgn0022709/FBgn0053958/FBgn0259101/FBgn0026602/FBgn0259171/FBgn0022710/FBgn0038467/FBgn0029915/FBgn0264815/FBgn0000053/FBgn0034225/FBgn0020389/FBgn0267408/FBgn0037046/FBgn0011703/FBgn0000109/FBgn0003301/FBgn0050104/FBgn0004901/FBgn0000479/FBgn0039650/FBgn0040089/FBgn0038295/FBgn0032436/FBgn0037661/FBgn0038435	26	0.242990654205607	0.0213464696223317	1.16248484569464	Metabolism	Nucleotide metabolism
map00240	Pyrimidine metabolism	11/1218	44/5827	0.304471678422272	0.999999999076521	0.94121096526481	FBgn0031489/FBgn0086450/FBgn0259101/FBgn0034225/FBgn0011703/FBgn0028833/FBgn0050104/FBgn0032083/FBgn0003189/FBgn0024920/FBgn0000447	11	0.25	0.0090311986863711	1.19601806239737	Metabolism	Nucleotide metabolism
map00250	Alanine, aspartate and glutamate metabolism	7/1218	32/5827	0.515763038711921	0.999999999076521	0.94121096526481	FBgn0001125/FBgn0001124/FBgn0038467/FBgn0032997/FBgn0261625/FBgn0004901/FBgn0003189	7	0.21875	0.00574712643678161	1.0465158045977	Metabolism	Amino acid metabolism
map00260	Glycine, serine and threonine metabolism	7/1218	30/5827	0.44181097984412	0.999999999076521	0.94121096526481	FBgn0032350/FBgn0038074/FBgn0036997/FBgn0000566/FBgn0037801/FBgn0031148/FBgn0051673	7	0.233333333333333	0.00574712643678161	1.11628352490421	Metabolism	Amino acid metabolism
map00261	Monobactam biosynthesis	1/1218	1/5827	0.209026943538699	0.979953659231108	0.922343130371458	FBgn0020389	1	1	0.00082101806239737	4.78407224958949	Metabolism	Biosynthesis of other secondary metabolites
map00270	Cysteine and methionine metabolism	14/1218	38/5827	0.0172449883594671	0.238113493117257	0.224115030906435	FBgn0032350/FBgn0001125/FBgn0038074/FBgn0030558/FBgn0001124/FBgn0032726/FBgn0030482/FBgn0040319/FBgn0034364/FBgn0000566/FBgn0031148/FBgn0052495/FBgn0019932/FBgn0015011	14	0.368421052631579	0.0114942528735632	1.76255293405929	Metabolism	Amino acid metabolism
map00280	Valine, leucine and isoleucine degradation	10/1218	33/5827	0.133250061852623	0.840554534197974	0.791139145220788	FBgn0036824/FBgn0029969/FBgn0040064/FBgn0030482/FBgn0031774/FBgn0037999/FBgn0035911/FBgn0035203/FBgn0030612/FBgn0039531	10	0.303030303030303	0.00821018062397373	1.44971886351197	Metabolism	Amino acid metabolism
map00290	Valine, leucine and isoleucine biosynthesis	1/1218	2/5827	0.374390002716499	0.999999999076521	0.94121096526481	FBgn0030482	1	0.5	0.00082101806239737	2.39203612479475	Metabolism	Amino acid metabolism
map00300	Lysine biosynthesis	1/1218	4/5827	0.608683167005367	0.999999999076521	0.94121096526481	FBgn0036117	1	0.25	0.00082101806239737	1.19601806239737	Metabolism	Amino acid metabolism
map00310	Lysine degradation	18/1218	59/5827	0.0526267728287585	0.484436190910879	0.455956655277502	FBgn0029969/FBgn0033403/FBgn0286198/FBgn0038795/FBgn0029766/FBgn0031774/FBgn0035203/FBgn0036147/FBgn0051109/FBgn0036839/FBgn0263993/FBgn0033061/FBgn0032707/FBgn0036117/FBgn0003862/FBgn0263755/FBgn0033830/FBgn0014903	18	0.305084745762712	0.0147783251231527	1.45954746597645	Metabolism	Amino acid metabolism
map00330	Arginine and proline metabolism	10/1218	66/5827	0.908863226801515	0.999999999076521	0.94121096526481	FBgn0013307/FBgn0001125/FBgn0001124/FBgn0022774/FBgn0023535/FBgn0000045/FBgn0036750/FBgn0026190/FBgn0019932/FBgn0035915	10	0.151515151515152	0.00821018062397373	0.724859431755984	Metabolism	Amino acid metabolism
map00350	Tyrosine metabolism	17/1218	37/5827	0.00054210402186904	0.0108119635472771	0.0101763386561383	FBgn0033367/FBgn0001125/FBgn0030558/FBgn0283437/FBgn0001124/FBgn0041710/FBgn0038858/FBgn0011768/FBgn0037696/FBgn0004034/FBgn0005626/FBgn0041711/FBgn0041709/FBgn0040211/FBgn0034856/FBgn0259977/FBgn0032601	17	0.459459459459459	0.0139573070607553	2.19808724981139	Metabolism	Amino acid metabolism
map00360	Phenylalanine metabolism	3/1218	10/5827	0.349561833646092	0.999999999076521	0.94121096526481	FBgn0001125/FBgn0030558/FBgn0001124	3	0.3	0.00246305418719212	1.43522167487685	Metabolism	Amino acid metabolism
map00380	Tryptophan metabolism	6/1218	26/5827	0.468520842096514	0.999999999076521	0.94121096526481	FBgn0029969/FBgn0035206/FBgn0287831/FBgn0031774/FBgn0035203/FBgn0036117	6	0.230769230769231	0.00492610837438424	1.10401667298219	Metabolism	Amino acid metabolism
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	3/1218	4/5827	0.0307555361787378	0.324742279063732	0.305650994222131	FBgn0001125/FBgn0030558/FBgn0001124	3	0.75	0.00246305418719212	3.58805418719212	Metabolism	Amino acid metabolism
map00410	beta-Alanine metabolism	6/1218	31/5827	0.654265801386041	0.999999999076521	0.94121096526481	FBgn0031813/FBgn0004516/FBgn0086450/FBgn0034629/FBgn0036750/FBgn0037999	6	0.193548387096774	0.00492610837438424	0.925949467662482	Metabolism	Metabolism of other amino acids
map00430	Taurine and hypotaurine metabolism	3/1218	12/5827	0.473522769576163	0.999999999076521	0.94121096526481	FBgn0004516/FBgn0034364/FBgn0030932	3	0.25	0.00246305418719212	1.19601806239737	Metabolism	Metabolism of other amino acids
map00470	D-Amino acid metabolism	1/1218	3/5827	0.505204247642045	0.999999999076521	0.94121096526481	FBgn0261625	1	0.333333333333333	0.00082101806239737	1.59469074986316	Metabolism	Metabolism of other amino acids
