ID	shape	color	size
GWHPBRAE000089	prot	down	0.805912947883698
GWHPBRAE000189	prot	down	0.459972730742493
GWHPBRAE000219	prot	up	-0.399444564589458
GWHPBRAE000275	prot	down	0.965784284662087
GWHPBRAE000327	prot	up	-0.883620816285671
GWHPBRAE000362	prot	up	-1.06143060049775
GWHPBRAE000372	prot	down	0.494109070270043
GWHPBRAE000437	prot	down	0.502259911390907
GWHPBRAE000520	prot	down	0.395928676331139
GWHPBRAE000544	prot	up	-0.583037623796664
GWHPBRAE000562	prot	down	0.401634794676355
GWHPBRAE000568	prot	up	-1.39341620047154
GWHPBRAE000633	prot	up	-1.82497146545623
GWHPBRAE000672	prot	up	-0.774839759827326
GWHPBRAE000704	prot	up	-0.669933835668961
GWHPBRAE000755	prot	up	-2.86591881455221
GWHPBRAE000848	prot	up	-0.385154896884344
GWHPBRAE000854	prot	down	0.510457064357526
GWHPBRAE000864	prot	down	2.11403524324603
GWHPBRAE000979	prot	down	0.434402824145775
GWHPBRAE001004	prot	up	-0.784085142734757
GWHPBRAE001145	prot	down	0.878321443411748
GWHPBRAE001212	prot	down	0.675765437729469
GWHPBRAE001324	prot	down	0.823677227359537
GWHPBRAE001342	prot	down	0.57132159005177
GWHPBRAE001344	prot	down	0.426625473554056
GWHPBRAE001370	prot	up	-0.417920007811965
GWHPBRAE001471	prot	down	0.826232932263294
GWHPBRAE001596	prot	down	0.584241333477502
GWHPBRAE001636	prot	up	-0.617298482840846
GWHPBRAE001735	prot	up	-0.420078115979374
GWHPBRAE001752	prot	down	1.8211260418302
GWHPBRAE001768	prot	down	0.727379545337008
GWHPBRAE001792	prot	up	-0.58014548442338
GWHPBRAE001849	prot	down	0.612637459164004
GWHPBRAE001917	prot	up	-0.477159211186641
GWHPBRAE001924	prot	up	-0.560714954474479
GWHPBRAE001953	prot	down	1.31832585820717
GWHPBRAE002010	prot	up	-0.660837367696284
GWHPBRAE002014	prot	up	-0.909197062991688
GWHPBRAE002088	prot	up	-0.550900664647523
GWHPBRAE002126	prot	up	-0.396159489073155
GWHPBRAE002152	prot	down	0.531156057025363
GWHPBRAE002162	prot	down	0.603840510926845
GWHPBRAE002177	prot	up	-0.639695233399582
GWHPBRAE002210	prot	down	0.902389203373578
GWHPBRAE002243	prot	up	-0.842375488206288
GWHPBRAE002282	prot	down	0.891642821909581
GWHPBRAE002295	prot	up	-0.425459304765355
GWHPBRAE002299	prot	down	1.92686529536978
GWHPBRAE002317	prot	up	-1.10433665981474
GWHPBRAE002341	prot	up	-0.451013242943973
GWHPBRAE002448	prot	up	-0.50182126542091
GWHPBRAE002462	prot	down	0.533242384273829
GWHPBRAE002480	prot	down	0.710755714843358
GWHPBRAE002498	prot	up	-0.528071164578735
GWHPBRAE002500	prot	up	-0.49467161164755
GWHPBRAE002520	prot	down	0.862496476250065
GWHPBRAE002679	prot	up	-1.42599632135108
GWHPBRAE002712	prot	up	-0.885964756753971
GWHPBRAE002836	prot	down	0.386468347082073
GWHPBRAE002852	prot	up	-0.541019153133559
GWHPBRAE002862	prot	down	0.766111939825723
GWHPBRAE002877	prot	up	-0.75702324650746
GWHPBRAE002958	prot	up	-0.431890348286181
GWHPBRAE002962	prot	down	0.494109070270043
GWHPBRAE003056	prot	down	1.11716134423275
GWHPBRAE003077	prot	down	0.698997743967186
GWHPBRAE003179	prot	up	-0.679874147746623
GWHPBRAE003198	prot	down	0.710755714843358
GWHPBRAE003288	prot	up	-0.477159211186641
GWHPBRAE003295	prot	up	-0.430820496519772
GWHPBRAE003325	prot	down	1.399730246491
GWHPBRAE003327	prot	down	0.943416471633632
GWHPBRAE003335	prot	down	1.24810786159569
GWHPBRAE003365	prot	up	-0.563646269484064
GWHPBRAE003367	prot	down	0.625934281777462
GWHPBRAE003370	prot	down	0.483984852996335
GWHPBRAE003375	prot	up	-0.751035176667862
GWHPBRAE003377	prot	down	0.673462651860048
GWHPBRAE003393	prot	up	-0.380729448503549
GWHPBRAE003396	prot	down	0.628162382669579
GWHPBRAE003413	prot	down	0.461958546666336
GWHPBRAE003434	prot	down	0.38458370273713
GWHPBRAE003448	prot	down	1.24127043154214
GWHPBRAE003560	prot	up	-0.535057594894842
GWHPBRAE003567	prot	down	1.2584251525812
GWHPBRAE003687	prot	up	-0.817213924258327
GWHPBRAE003979	prot	up	-1.83349733685984
GWHPBRAE004010	prot	down	0.490050853695689
GWHPBRAE004011	prot	down	0.780908941753803
GWHPBRAE004014	prot	down	0.932361283124637
GWHPBRAE004070	prot	up	-0.526068811667588
GWHPBRAE004097	prot	down	0.547931769776189
GWHPBRAE004104	prot	down	0.650634722405787
GWHPBRAE004111	prot	down	0.45600928033515
GWHPBRAE004196	prot	down	0.788364746672851
GWHPBRAE004239	prot	down	1.19099722506091
GWHPBRAE004296	prot	up	-0.657182660128423
GWHPBRAE004305	prot	down	0.50635266602479
GWHPBRAE004329	prot	down	1.18770715512673
GWHPBRAE004335	prot	down	0.471928835421265
GWHPBRAE004363	prot	up	-1.06901467791518
GWHPBRAE004396	prot	down	0.38458370273713
GWHPBRAE004397	prot	down	1.63039392996816
GWHPBRAE004402	prot	up	-0.50182126542091
GWHPBRAE004463	prot	up	-0.764685852522134
GWHPBRAE004550	prot	down	0.529072742524873
GWHPBRAE004571	prot	down	1.09541956507868
GWHPBRAE004652	prot	up	-0.523060061795249
GWHPBRAE004741	prot	down	1.69899774396719
GWHPBRAE004753	prot	down	0.749038426466781
GWHPBRAE004758	prot	up	-0.426533138116673
GWHPBRAE004814	prot	up	-1.38901605968851
GWHPBRAE004833	prot	up	-0.751035176667862
GWHPBRAE004867	prot	up	-0.945607703181372
GWHPBRAE004898	prot	down	0.430508908041284
GWHPBRAE004927	prot	down	1.20423305221761
GWHPBRAE004934	prot	down	0.483984852996335
GWHPBRAE004970	prot	down	1.21089678249862
GWHPBRAE005020	prot	up	-0.426533138116673
GWHPBRAE005028	prot	up	-0.796597754048306
GWHPBRAE005038	prot	up	-1.38294386956899
GWHPBRAE005039	prot	up	-0.487486349348536
GWHPBRAE005057	prot	up	-0.439357178474257
GWHPBRAE005063	prot	up	-0.72159139877538
GWHPBRAE005098	prot	up	-0.567545447643747
GWHPBRAE005102	prot	up	-0.40381306161659
GWHPBRAE005113	prot	up	-0.589763486984977
GWHPBRAE005144	prot	up	-0.950095094173686
GWHPBRAE005255	prot	up	-0.506906554580693
GWHPBRAE005257	prot	down	0.430508908041284
GWHPBRAE005269	prot	down	1.09234017214671
GWHPBRAE005307	prot	down	0.888968687611256
GWHPBRAE005351	prot	up	-0.443606651475615
GWHPBRAE005357	prot	up	-0.603121869839996
GWHPBRAE005366	prot	down	0.401634794676355
GWHPBRAE005394	prot	down	0.595096877854869
GWHPBRAE005508	prot	down	1.27229732716276
GWHPBRAE005514	prot	up	-0.488515008957812
GWHPBRAE005528	prot	down	0.434402824145775
GWHPBRAE005582	prot	down	2.02326977932285
GWHPBRAE005612	prot	up	-0.380729448503549
GWHPBRAE005618	prot	down	0.488026018218199
GWHPBRAE005623	prot	down	1.45008444637804
GWHPBRAE005626	prot	up	-0.520045024039818
