ID	size	type	pro_type
map00010	2	pathway	pathway
Zm00001eb006760	2.98668705106049	up	tran
Zm00001eb011080	0.104620639877057	nodiff	tran
Zm00001eb011940	1.67484314058294	up	tran
Zm00001eb018480	5.68267205373334	up	tran
Zm00001eb024280	3.09311729215812	down	tran
Zm00001eb026710	3.19178478353966	up	tran
Zm00001eb026940	1.24880656614525	up	tran
Zm00001eb031900	2.10309036364269	down	tran
Zm00001eb036940	1.02314199853137	down	tran
Zm00001eb038230	0.699562589793828	nodiff	tran
Zm00001eb041730	1.46926673742071	down	tran
Zm00001eb043000	1.25125771762029	up	tran
Zm00001eb047240	0.425038799233833	nodiff	tran
Zm00001eb050410	0.67736344742083	nodiff	tran
Zm00001eb056510	2.454948584867	down	tran
Zm00001eb060760	2.18741339194552	up	tran
Zm00001eb064300	0.897982639718724	nodiff	tran
Zm00001eb084450	2.18557911110434	down	tran
Zm00001eb085480	7.90232756810654	up	tran
Zm00001eb098760	1.2684558101579	up	tran
Zm00001eb101090	1.01879010798992	up	tran
Zm00001eb121310	1.51590553105091	up	tran
Zm00001eb122490	10.4670183743643	down	tran
Zm00001eb123700	6.78740135505362	down	tran
Zm00001eb128890	0.724212055470778	nodiff	tran
Zm00001eb129930	7.73219339594867	down	tran
Zm00001eb131070	1.58441417134474	down	tran
Zm00001eb141560	0.285674761140292	nodiff	tran
Zm00001eb178250	0.368284073899939	nodiff	tran
Zm00001eb179810	2.6738354666378	up	tran
Zm00001eb185610	1.21844059569297	up	tran
Zm00001eb194780	1.38152275835604	down	tran
Zm00001eb196320	1.61496598023278	up	tran
Zm00001eb200910	2.09574142080413	up	tran
Zm00001eb201330	0.520391821545156	nodiff	tran
Zm00001eb205190	0.693969782636314	nodiff	tran
Zm00001eb207170	8.94692254046472	down	tran
Zm00001eb219880	0.286699468642016	nodiff	tran
Zm00001eb229430	2.67253755082184	down	tran
Zm00001eb240130	0.329055177966674	nodiff	tran
Zm00001eb246370	0.186750347153584	nodiff	tran
Zm00001eb248870	2.27461277628853	up	tran
Zm00001eb249000	9.04915162189211	down	tran
Zm00001eb258770	1.71570725674692	up	tran
Zm00001eb261430	0.3522283033325	nodiff	tran
Zm00001eb266900	5.17705247216147	down	tran
Zm00001eb273400	4.15174661342957	down	tran
Zm00001eb274560	8.54191555124232	up	tran
Zm00001eb281930	6.75419699619899	down	tran
Zm00001eb283530	0.239810419485676	nodiff	tran
Zm00001eb284270	5.59303778971642	up	tran
Zm00001eb287770	3.45448678762008	up	tran
Zm00001eb289560	6.3117944790119	up	tran
Zm00001eb289570	0.109265956078523	nodiff	tran
Zm00001eb291670	1.50940153039452	up	tran
Zm00001eb293530	1.25690259382207	up	tran
Zm00001eb293670	3.40709387034983	down	tran
Zm00001eb296350	2.13908660908578	up	tran
Zm00001eb301440	1.37796631294608	up	tran
Zm00001eb301990	4.08872609320879	up	tran
Zm00001eb303340	8.32560298054612	down	tran
Zm00001eb309240	4.70608794425358	down	tran
Zm00001eb319770	2.21091526215558	up	tran
